SCP #,Title,rating,Classification,Type,Related GOI(s),Location Notes,Author,Leaked info,Humanoid or Structure,"Animal, Computer or Extradimensional",Autonomous or Cognitohazard),"Artifact, Location or Sentient",Summary,Gender,,Ethnicity / Origins
122,No More Monsters,,keter,humanoid,,was transported to Site-19,,,humanoid,,autonomous,sentient,,,,
266,Will o' the Wisp,,euclid,autonomous,,was relocated to Site-19 at first convenience.,,,,,autonomous,sentient,,,,
2274,He Stands,,safe,humanoid,Are We Cool Yet?,was recovered by drone and brought to Site-19.,,,humanoid,,cognitohazard,,,,,
1297,A Jar of Toenails,,keter,autonomous,,was mailed to Site-19; via US post,,,,,autonomous,sentient,,,,
109,Infinite Canteen,,euclid,liquid,,was delivered to Site-19.,,,,,,,,,,
295,Cauterpillers,,euclid,alive,,was brought to Site-19 and safely contained.,,,,,,,,,,
2145,Seven Extra Seasons,,safe,humanoid,"Global Occult C.,Unusual Incidents U.",to be contained in standard humanoid cells at Site-19.,,,humanoid,,,sentient,,,,
1721,Cultural Revolution,,safe,autonomous,,This case has been placed in a standard safe-class storage locker located in Site-19,,,,,autonomous,,,,,
351,Fluid Canon,,euclid,cognitohazard,,stored in the Site-19 archives ...,,,,,cognitohazard,,,,,
1123,Atrocity Skull,,safe,mind-affecting,,stored in a secure climate-controlled locker at Site-19.,,,,,,,,,,
1158,Arboreal Jellyfish Puppeteers,,euclid,alive,,specimens in captivity are housed at Site-19; Hazardous Lifeforms Wing;,,,,,,,,,,
663,Living Water Filter,,euclid,humanoid,,SCP-663 is to be kept in the second floor break room at Site-19.,,,humanoid,,,,,,,
1806,Shadow Sculpture,,safe,mind-affecting,,SCP-1806 is to be kept in a secure; light-proof anomalous items locker at Site-19.,,,,,,,,,,
2533,Disinformation Document,,safe,cognitohazard,,placed in a locked filing cabinet drawer in Secure File Storage room 2 at Site 19,,,,,cognitohazard,,,,,
378,Brainworm,,keter,sentient,,On the return trip to Site-19; Agent ······ ··· reportedly acted normal.,,,,,,sentient,,,,
660,Earthen Womb,,safe,artifact,,may be safely stored in a standard locked safe-deposit box in Site-19's High Value Storage Facility ...,,,,,,artifact,,,,
572,Katana of Apparent Invincibility,,euclid,cognitohazard,,may be safely kept in a locked safe-deposit box at Site-19's High Value Item Storage Facility.,,,,,cognitohazard,,,,,
935,Ancient Playing Cards,,euclid,game,,located in Site-19.,,,,,,,,,,
931,A Rice Bowl,,safe,cognitohazard,,Kept at Site-19.,,,,,cognitohazard,artifact,,,,
742,Retrovirus,,keter,virus,,Jul 8; 2015 - Samples of the ... virus itself are kept in a secure vault at Site-19.,,,,,,,,,,
2580,Father-Daughter Project,,safe,toy,,is to be stored in the Site-19 physical archives.,,,,,,,,,,
520,Knife Switch,,safe,electrical,,is to be stored in an inanimate-item locker at Site-19.,,,,,,,,,,
2908,Golden cards of not death,,safe,mind-affecting,,is to be stored in a standard containment locker at Site-19.,,,,,,,,,,
1187,Stationary ATV,,safe,vehicle,,is to be stored in a remote; above-ground enclosure 5km from Site-19,,,,,,,,,,
263,Cash or Ash,,euclid,sentient,,is to be stored in a low value items storage vault at Site-19.,,,,,,sentient,,,,
1991,Cybernetically Enhanced Mammalian,,safe,animal,,is to be stored in a 5x5x5 meter containment chamber within Site-19's biological specimens wing.,,,,animal,,,,,,
1360,PSHUD #31,,euclid,humanoid,Anderson Robotics,is to be restrained within a humanoid containment cell at Site-19.,,,humanoid,,autonomous,sentient,,,,
971,Exotic Fast Food Delivery,,safe,transfiguration,,is to be kept in its labeled file folder and locked in file cabinet #26 in Site-19's file vault when not ...,,,,,,,,,,
1327,Intelligence Switcher,,safe,mind-affecting,,is to be kept in High-Security Storage Locker J-21b at Site-19.,,,,,,,,,,
1839,Reproductive Methods of Bony Fish,,safe,cognitohazard,,is to be kept in containment locker 534 at Site-19.,,,,,cognitohazard,,,,,
2294,The Problems At Hand,,safe,sentient,,is to be kept in an acrylic glass container with holes drilled in for air at Site-19.,,,,,,sentient,,N/A (body part),,white
2885,Window to Another You,,safe,cognitohazard,,is to be kept in a standard locker at Site-19.,,,,,cognitohazard,,,,,
626,Vision-Altering Sculpture,,safe,artifact,,is to be kept in a standard lockbox at Site-19's High Value ...,,,,,,artifact,,,,
1307,The Person Sharpener,,safe,mechanical,,is to be kept in a standard hazardous-object containment storage at Site-19.,,,,,,,,,,
361,Bronze Liver,,safe,artifact,,is to be kept in a standard Artifact Containment Unit in Site-19's High Value wing.,,,,,,artifact,,,,
786,Funnel Factor Twelve,,safe,spacetime,,is to be kept in a secure storage room at Site-19,,,,,,,,,,
2364,Shaped Like Itself,,safe,cognitohazard,,is to be kept in a secure storage locker on Site-19 on top of ...,,,,,cognitohazard,,,,,
809,Combat Boots,,safe,clothing,,is to be kept in a secure storage locker in Site-19.,,,,,,,,,,
286,The Brothers' Game,,euclid,artifact,,is to be kept in a secure containment cell at Site-19,,,,,,artifact,,,,
1398,Hateful Dead,,safe,cognitohazard,,is to be kept in a secure audio storage unit at Site-19.,,,,,cognitohazard,,,,,
1997,Endless Activity Book,,safe,toy,Dr. Wondertainment,is to be kept in a plastic sleeve and stored in a secure filing cabinet at Site-19.,,,,,,,,,,
2626,Large Format Camera,,safe,cognitohazard,,is to be kept in a locked; padded storage container at Site-19.,,,,,cognitohazard,artifact,,,,
807,Heart Attack on a Plate,,euclid,artifact,,is to be kept in a locked safe deposit box at Site-19's High Value Item Storage Facility.,,,,,,artifact,,,,
669,A Didactic Perspective,,safe,artifact,,is to be kept in a lead-lined safety deposit on Site-19.,,,,,,artifact,,,,
1379,Stab Your Inner Child,,safe,mind-affecting,,is to be kept in a dedicated Object Containment Locker at Site-19;,,,,,,,,,,
2620,Food Critique,,euclid,appliance,,is to be kept in a containment locker in Site-19.,,,,,,,,,,
1035,Decomposition Mitten,,safe,clothing,,is to be kept at Site-19's Biological Storage Facility while research into its properties continues.,,,,,,,,,,
241,Good Home Cooking,,safe,biohazard,,is to be kept at Site-19,,,,,,,,,,
63,The World's Best TothBrush,,safe,ectoentropic,,is to be kept at all times within ... the personnel quarters upon Site-19.,,,,,,,,,,
1722,Curmudgeon's Cudgel,,safe,artifact,,is to be housed in a standard storage locker within Site-19.,,,,,,artifact,,,,
1804,Underwood #5,,safe,cognitohazard,,is to be housed in a secure office at Site-19.,,,,,cognitohazard,,,,,
1288,Timely Encouragement,,safe,extradimensional,,is to be held in Storage Locker ·· at Site-19.,,,,extradimensional,,,,,,
1770,The Maker of Chains,,euclid,humanoid,,is to be held in a standard reinforced humanoid containment chamber in Site-19's maximum ...,,,humanoid,,,artifact,,,,
1650,Macabee Oil,,safe,liquid,Horizon Initiative,is to be held in a standard artifact containment unit in Site-19's High Value wing.,,,,,,,,,,
174,Ventriloquist's Dummy,,euclid,mind-affecting,,is to be contained within Storage Unit-07 at Site-19.,,,,,,,,,,
2860,Made of Stone,,euclid,humanoid,,is to be contained within a Type S Standard Humanoid Anomaly Containment Cell at Site-19.,,,humanoid,,cognitohazard,sentient,,male,,white
1326,The Lexicon,,euclid,sentient,Serpents Hand,is to be contained in a standard Site-19 containment cell;,,,,,,sentient,,,,
2993,A Pair of Sunglasses,,safe,clothing,,is to be contained in a standard secure locker at Site-19.,,,,,,,,,,
2980,Devil's Nightlight,,safe,humanoid,,is to be contained in a standard item locker at Site-19.,,,humanoid,,,sentient,,,,
2332,Thought Messenger,,euclid,extradimensional animal,,is to be contained in a repurposed dimensional testing room on Site-19's Research Floor 2,,,,extradimensional / animal,,sentient,,,,
2981,Mashed Potatoes Can Be Your Friend,,safe,cognitohazard,,is to be contained at Site-19,,,,,cognitohazard,,,,,
1198,Endless Echo,,safe,cognitohazard,,is stored in the High Security Data server of Site-19.,,,,,cognitohazard,,,,,
2918,A Post-Traumatic Predator,,euclid,computer,,is stored in hangar 2 at Foundation Site-19.,,,,computer,,sentient,,,,
2291,FUN BOX,,euclid,cognitohazard,,is stored in Anomalous Item Locker ECD-2291 in Site 19.,,,,,cognitohazard,,,,,
1376,Documentary Camcorder,,safe,electronic,,is stored in a standard secure locker at Site-19.,,,,,,,,,,
269,Dialysis Bracelet,,safe,jewelry,,is stored in a standard Safe-class secure locker at Site-19.,,,,,,,,,,
1930,The Surgeon in the Box,,safe,humanoid,,is stored in a standard Safe-class secure item locker at Site-19.,,,humanoid,,,,,,,
1444,Brahmastra,,safe,cognitohazard,,is stored in a heat-proof; lead-lined storage safe on Site-19.,,,,,cognitohazard,,,,,
107,The Turtle Shell,,safe,ectoentropic,,is stored at Site-19 in a five (5) metre square containment cell...,,,,,,,,,,
465,Party in a Box,,safe,humanoid,,is secured in containment locker 8423 at Site-19.,,,humanoid,,autonomous,sentient,,,,
588,A Voracious Coin,,safe,autonomous,,is maintained in a minimum security storage locker at Site-19.,,,,,autonomous,sentient,,,,
1934,Absence of Absence,,safe,humanoid,,is located in corridor 719-A in Site-19 behind a locked door specifically labeled,,,humanoid,extradimensional,,sentient,,,,
2048,The Virtual World,,euclid,computer,,is kept; disassembled; in Lab 17 of the Experimental Technology Division at Site-19.,,,,computer,,sentient,,,,
873,Russian Crystal Ball,,euclid,temporal,,is kept in a secure room at Site-19.,,,,,,,,,,
523,The Most Unhelpful Object On Earth,,euclid,metamorphic,,is kept in a sealed room separate from the rest of the Site-19,,,,,,,,,,
1687,The Violin,,safe,cognitohazard,,is kept in a locked violin case in secure storage at Site-19.,,,,,cognitohazard,artifact,,,,
1772,Egg Allergy,,safe,cognitohazard,,is kept in a locked plexiglass box in the High-Value Documents section of the Site-19,,,,,cognitohazard,,,,,
223,A Photo Album,,euclid,cognitohazard,,is kept in a locked containment vault in Site-19.,,,,,cognitohazard,,,,,
842,Operations Table,,safe,visual,,is housed at Site-19 in a standard 10 m x 10 m x 5 m containment cell.,,,,,,,,,,
1137,Perfect Sphere,,euclid,infohazard,,is held in a locked box in item storage locker 8A at Site-19.,,,,,,,,,,
101,Hungry Bag,,euclid,extradimensional,,is currently stored in the sub-basement 0-2 of Site-19...,,,,extradimensional,autonomous,,,,,
819,Vital Suckers,,safe,container,,is currently housed in a secured locker in Site-19.,,,,,,,,,,
812,A Big Box of River,,euclid,liquid,,is currently housed at Site-19; outside; next to the general equipment sheds.,,,,,,,,,,
412,Mutagenic Mirror,,safe,artifact,,is currently contained within Storage Unit-11 at Site-19;,,,,,,artifact,,,,
2373,Behind You,,euclid,humanoid,,is currently contained within a Class-A containment chamber at Site-19;,,,humanoid,,,,,,,
2522,hatbot.aic,,euclid,computer,"Broken God,Anderson Robotics",is contained within an isolated backup data server at Site-19.,,,,computer,,sentient,,,,
903,Tunnel of Infinite Possibility,,euclid,transfiguration,,is an incomplete Site-19 utility tunnel that connects the SCP Containment Wing with the Lambda Laboratory Wing.,,,,,,,,,,
657,Death-predicting Man,,safe,humanoid,,is allowed to freely move about the grounds of Site-19,,,humanoid,,,sentient,,male,,white
1711,You Speak My Language,,euclid,liquid,,Instances of ... are to be kept in Site-19's Storage Chamber ...,,,,,,,,,,
1536,Doppelgängers,,euclid,autonomous,,Inactive SCP-1536 instances should be contained in standard locked storage boxes in Sector 37 of Site-19.,,,,,autonomous,,,,,
2598,Traveling Moth Salesman,,safe,sentient,,in a Standard Insectoid Containment Cell at Site-19.,,,,,,sentient,,,,
1405,A Large Prehistoric Sloth,,euclid,animal,,in a standard containment facility at Site-19.,,,,animal,autonomous,sentient,,,,
355,The Serrated Lawn,,euclid,plant,Chaos Insurgency,in a small terrarium in Site-19 ...,,,,,,,,,,
1394,Doctor's Syringe,,safe,humanoid,,If ... is spotted leaving Site-19,,,humanoid,,,,,,,
251,The Deceptive Snow Globe,,euclid,cognitohazard,,has not been moved since its arrival at Site-19,,,,,cognitohazard,artifact,,,,
997,Vermin Suppressor,,safe,electronic,,has been fitted with an adapter for Site-19 testing chamber wall outlets.,,,,,,,,,,
1321,Cathar Journal,,safe,cognitohazard,Horizon Initiative,glass case in Site-19's High Value Containment wing.,,,,,cognitohazard,,,,,
2216,Peripheral Visions,,euclid,cognitohazard,,Five (5) instances of SCP-2216-2 are to be kept at Site-19/2216...,,,,,cognitohazard,,,,,
137,The Real Toy,,euclid,autonomous,,extracted to Site-19 by helicopter. (no relocation mentioned),,,,,autonomous,,,,,
2435,Empty Space,,euclid,ectoentropic,,During a breach in containment of SCP-··· at Site-19; 6 D-Class personnel attempted to hide from ...,,,,,,,,,,
384,Let Her In,,safe,sentient,MC&D Ltd,"Containment Unit-077, located directly outside Site-19, houses the current manifestation...",,,,,,sentient,,,,
357,Hungry Clay,,euclid,clay,,Changes in mass ... will result in an automatic lockdown of that section of Site-19,,,,,,,,,,
1519,Renaissance Organism,,safe,artifact,,Blueprints for ... are housed in a secure file at Site-19.,,,,,,artifact,,,,
1467,The Man that Wasn't,,euclid,humanoid,,at arrival to Site-19 in 2008.,,,humanoid,,,sentient,,,,African american
2258,Stradivarian Instrument Cases,,safe,container,,are to be stored in Low-Risk Containment at Site-19 when locked.,,,,,,,,,,
721,Factory Toys,,safe,knowledge,The Factory,are to be contained in one of three designated lockers at Site-19's low-priority item ...,,,,,,,,,,
131,"The ""Eye Pods""",,safe,autonomous,,are free to travel about Site-19 so long as they do not attempt to enter any restricted areas or attempt to leave the facility.,,,,,autonomous,sentient,,,,
1814,Fossilized Flame,,euclid,artifact,,and it was brought back to Site 19 in a makeshift vacuum tank.,,,,,,artifact,,,,
2944,An Anomalous Haircut,,safe,autonomous,,An envelope containing ... is to be kept in Site-19's Filing Department;,,,,,autonomous,,,,,
111,Dragon-Snails™,,safe,animal,Dr. Wondertainment,All specimens of SCP-111 in captivity are housed at Site-19,,,,animal,,,,,,
625,Anklebiters,,euclid,animal,,All specimens of ... are to be contained within a 5m x 5m x 7m room constructed of reinforced concrete at Site 19,,,,animal,,,,,,
1258,The Way of the Masters,,euclid,cognitohazard,,All materials relating to ... are held in a locked document cabinet in Site-19;,,,,,cognitohazard,,,,,
133,Instant Hole,,safe,artifact,The Factory,All instances ... stored within a standard Safe-class storage container at Site 19,,,,,,artifact,,,,
877,University Microchips,,keter,artifact,Alexylva,All copies of SCP-877 are to be kept in electromagnetically sealed containers in the Site-19 storage vault.,,,,,,artifact,,,,
1019,Anartist's Folly,,euclid,artifact,,A radio broadcast available only in room 214 of Site-19 at 103.5 FM,,,,,,artifact,,,,
577,Bullet Cat,,euclid,autonomous,,A designated animal specialist is to be housed at Site-19 for containment purposes.,,,,,autonomous,sentient,,,,
698,Judgmental Turtle,,euclid,knowledge,,> test log indicates testing with item purchased at Site-19 cafeteria,,,,,,,,,,
832,Accountant's Coin,,safe,mind-affecting,,...personnel are discouraged from using US half dollars in their transactions at Site 19,,,,,,,,,,
2343,How I Got To Memphis,,keter,humanoid,,...kept on file at Site-88; Site-19; and Site-17 and are to be stored within their own Scranton Reality Anchor fields.,,,humanoid,,,sentient,,,,
5,Skeleton Key,,safe,sentient,,,,,,,,sentient,a key that opens any lock,,,
6,Fountain of Youth,,safe,location,,,,,,,,location,fountain of youth disguised as a toxic enviroment,,,
7,Abdominal Planet,,euclid,humanoid,,,,,humanoid,,,,guy with a planet instead of his stomach,male,,white
3,Biological Motherboard,,euclid,computer,,,,,,computer,,,needs to be kept hot or reality goes tits up,,,
8,Zombie Plague,,euclid,biohazard,,,,,,,,,the zombie virus,,,
9,Red Ice,,euclid,liquid,,,,,,,,,,,,
10,Collars of Control,,safe,artifact,,,,,,,,artifact,,,,
11,Sentient Civil War Memorial Statue,,safe,humanoid,,,,,humanoid,,autonomous,sentient,,male,,United States
12,A Bad Composition,,euclid,cognitohazard,,,,,,,cognitohazard,,,,,
13,Blue Lady Cigarettes,,safe,artifact,,,,,,,,artifact,,,,
14,The Concrete Man,,safe,humanoid,,,,,humanoid,,,sentient,,male,,white
16,Sentient Micro-Organism,,keter,biohazard,,,,,,,,,,,,
17,Shadow Person,,keter,humanoid,,,,,humanoid,,,,,N/A,,N/A
18,Super Ball,,euclid,toy,,,,,,,,,,,,
19,The Monster Pot,,keter,sentient,,,,,,,,sentient,,,,
20,Unseen Mold,,keter,biohazard,,,,,,,,,,,,
21,Skin Wyrm,,safe,parasitic,,,,,,,,,,,,
22,The Morgue,,euclid,humanoid,,,,,humanoid,,autonomous,,,,,
23,Black Shuck,,euclid,animal,,,,,,animal,cognitohazard,,,,,
24,Game Show of Death,,euclid,structure,,,,,structure,,,,,,,
25,A Well-Worn Wardrobe,,safe,clothing,,,,,,,,,,,,
26,Afterschool Retention,,euclid,humanoid,,,,,humanoid,,,,,N/A,,N/A
27,The Vermin God,,euclid,humanoid,,,,,humanoid,animal,,,,,,
29,Daughter of Shadows,,keter,humanoid,,,,,humanoid,,,,,female,,Asiatic-Indian
30,The Homunculus,,safe,humanoid,,,,,humanoid,,autonomous,sentient,,genderless,,unknown
31,What is Love?,,safe,cognitohazard,,,,,,,cognitohazard,,,,,
32,Brothers' Bride,,euclid,humanoid,,,,,humanoid,,autonomous,sentient,,female,,white
33,The Missing Number,,euclid,cognitohazard,,,,,,,cognitohazard,,,,,
34,Obsidian Ritual Knife,,safe,artifact,,,,,,,,artifact,,,,
36,The Reincarnation Pilgrimage of the Yazidi (Kiras Guhorîn),,safe,humanoid,,,,,humanoid,,,location,,,,kurdish
37,Dwarf Star,,euclid,extraterrestrial,,,,,,,,,,,,
38,The Everything Tree,,safe,plant,,,,,,,,,,,,
39,Proboscis Engineers,,euclid,animal,,,,,,animal,,sentient,,,,
40,Evolution's Child,,euclid,humanoid,,,,,humanoid,,,sentient,,female,,white
41,Thought Broadcasting Patient,,safe,humanoid,,,,,humanoid,,,sentient,,male,,unknown
42,A Formerly Winged Horse,,safe,animal,,,,,,animal,,sentient,,,,
43,The Beatle,,safe,sentient,,,,,,,,sentient,,,,
44,World War II Era Molecular-Fission Cannon,,safe,Weapon,,,,,,,,,,,,
45,Atmospheric Converter,,safe,extradimensional,,,,,,extradimensional,,,,,,
46,Predatory Holly Bush,,euclid,infohazard,,,,,,,,,,,,
47,Microbial Mutagen,,keter,container,,,,,,,,,,,,
50,To The Cleverest,,euclid,sapient,,,,,,,,,,,,
51,Japanese Obstetrical Model,,safe,humanoid,,,,,humanoid,,,,,female,,asian
52,Time-Traveling Train,,euclid,vehicle,,,,,,,,,,,,
53,Young Girl,,euclid,humanoid,,,,,humanoid,,cognitohazard,sentient,,female,,unknown
54,Water Nymph,,safe,humanoid,,,,,humanoid,,,sentient,,female (usualy),,
56,A Beautiful Person,,euclid,humanoid,,,,,humanoid,,,sentient,,variable,,variable
57,The Daily Grind,,safe,structure,,,,,structure,,autonomous,,,,,
58,Heart of Darkness,,keter,sentient,,,,,,,,sentient,,,,
59,Radioactive Mineral,,keter,extradimensional,,,,,,extradimensional,,,,,,
60,Infernal Occult Skeleton,,keter,humanoid,,,,,humanoid,,,sentient,,N/A,,N/A
61,Auditory Mind Control,,safe,auditory,,,,,,,,,,,,
62,Quantum Computer,,euclid,extradimensional computer,,,,,,extradimensional / computer,,,,,,
64,Flawed von Neumann Structure,,safe,structure,,,,,structure,,,artifact,,,,
65,Destroyed Organic Catalyst,,euclid,location,Global Occult C.,,,,,,,location,,,,
66,Eric's Toy,,euclid,autonomous,,,,,,,autonomous,,,,,
67,The Artist's Pen,,safe,autonomous,,,,,,,autonomous,,,,,
68,The Wire Figure,,safe,humanoid,,,,,humanoid,,autonomous,,,N/A,,N/A
69,Second Chance,,safe,humanoid,,,,,humanoid,,,sentient,,iterative,,iterative
70,Iron Wings,,safe,humanoid,,,,,humanoid,,autonomous,,,male,,native american
71,Degenerative Metamorphic Entity,,euclid,autonomous,,,,,,,autonomous,,,,,
72,The Foot of the Bed,,safe,autonomous,,,,,,,autonomous,,,,,
73,Cain,,euclid,humanoid,,,,,humanoid,,,sentient,,Male,,Middle Eastern
74,Quantum Woodlouse,,euclid,infohazard,,,,,,,,,,,,
75,Corrosive Snail,,euclid,alive,,,,,,,,,,,,
77,Rot Skull,,euclid,humanoid,,,,,humanoid,,cognitohazard,,,N/A,,Iceland and Ireland
78,Guilt,,euclid,cognitohazard,,,,,,,cognitohazard,,,,,
79,Old AI,,euclid,computer,,,,,,computer,,sentient,,,,
80,Dark Form,,euclid,mind-affecting,,,,,,,,,,,,
81,Spontaneous Combustion Virus,,euclid,mind-affecting,,,,,,,,,,,,
82,Fernand the Cannibal,,euclid,humanoid,,,,,humanoid,,,sentient,,male,,french
83,An Abandoned Row Home,,euclid,extradimensional,,,,,,extradimensional,,,,,,
84,Static Tower,,euclid,structure,,,,,structure,,,,,,,
86,The Office of Dr. [REDACTED],,safe,sentient,,,,,,,,sentient,,,,
88,The Lizard King,,safe,humanoid,,,,,humanoid,,,,,unknown,,unknown
89,Tophet,,euclid,humanoid,,,,,humanoid,,,,,N/A,,N/A
90,Apocorubik's Cube,,keter,autonomous,,,,,,,autonomous,artifact / sentient,,,,
